timestamp,sender,message
2024-05-23T22:25:00,Amey Pacharkar,I heard genshin was the same on launch day
2024-05-23T22:25:00,Dovansh,Was it ?
2024-05-23T22:26:00,Amey Pacharkar,Yaa
2024-05-23T22:26:00,Amey Pacharkar,It takes time since it is their first open world game
2024-05-23T22:26:00,Amey Pacharkar,31Million PPL playing so yaa
2024-05-23T22:26:00,Dovansh,Ya ofcourse
2024-05-23T23:01:00,Dovansh,Soooo
2024-05-23T23:02:00,Dovansh,I got her
2024-05-24T06:03:00,Amey Pacharkar,Cool
2024-05-24T06:03:00,Amey Pacharkar,She is a healer+ buffer right?
2024-05-24T06:03:00,Dovansh,Yeah
2024-05-24T06:04:00,Amey Pacharkar,U r alive rn?
2024-05-24T06:04:00,Amey Pacharkar,I just woke up
2024-05-24T06:04:00,Dovansh,Ya I've been awake since yesterday morning
2024-05-24T06:04:00,Dovansh,Unfortunately yes
2024-05-24T06:58:00,Amey Pacharkar,You wish to come to exam sleep deprived?
2024-05-24T11:57:00,Dovansh,Yeah
2024-05-24T18:40:00,Amey Pacharkar,Devansh kya bata rah tha bata
2024-05-24T18:40:00,Amey Pacharkar,Wuthering waves ka?
2024-05-24T19:44:00,Dovansh,It needs improvement
2024-05-24T19:51:00,Amey Pacharkar,That's all?
2024-05-24T19:51:00,Amey Pacharkar,I heard they giving free 5* selector
2024-05-24T19:51:00,Amey Pacharkar,Standard banner 5*
2024-05-24T19:51:00,Dovansh,yeah I know
2024-05-24T19:51:00,Dovansh,i chose jianxin
2024-05-24T19:51:00,Amey Pacharkar,We already got it?
2024-05-24T19:51:00,Dovansh,naaa
2024-05-24T19:52:00,Amey Pacharkar,Then?
2024-05-24T19:52:00,Dovansh,you have to choose before hand
2024-05-24T19:52:00,Amey Pacharkar,??
2024-05-24T19:52:00,Dovansh,ehen you get a 5 star from your 50 banner
2024-05-24T19:52:00,Dovansh,the choise will come
2024-05-24T19:52:00,Amey Pacharkar,No no
2024-05-24T19:52:00,Amey Pacharkar,I meant we are getting a 5* selector
2024-05-24T19:52:00,Amey Pacharkar,Like 5* weapon selector
2024-05-24T19:53:00,Amey Pacharkar,You select a 5*
2024-05-24T19:53:00,Dovansh,ya
2024-05-24T19:53:00,Amey Pacharkar,Cuz of so many bugs and glitches it's compensation
2024-05-24T19:54:00,Amey Pacharkar,So u know
2024-05-24T19:54:00,Dovansh,at union level 45
2024-05-24T19:54:00,Dovansh,as compensation ?
2024-05-24T19:54:00,Amey Pacharkar,Let me rephrase it cuz I am thinking you didn't get it
2024-05-24T19:55:00,Amey Pacharkar,Kuro games are giving a 5* standard banner character selector for free as a compensation for all the bugs and glitches
2024-05-24T19:56:00,Dovansh,what ?
2024-05-24T19:56:00,Dovansh,when did thid happen ?
2024-05-24T19:56:00,Amey Pacharkar,For cn they announced
2024-05-24T19:56:00,Amey Pacharkar,So we might be getting it too
2024-05-24T19:56:00,Dovansh,China ?
2024-05-24T19:57:00,Amey Pacharkar,Yaa
2024-05-24T19:57:00,Dovansh,Waah
2024-05-24T19:57:00,Dovansh,We also want
2024-05-24T19:58:00,Amey Pacharkar,They have not yet announced for us
2024-05-24T19:58:00,Dovansh,We also want
2024-05-24T19:58:00,Amey Pacharkar,Yaa
2024-05-24T19:58:00,Amey Pacharkar,Let me see my first 5*
2024-05-24T19:58:00,Amey Pacharkar,Will let u know
